Start time,End time,ID
25/02/2008 00:22,25/02/2008 09:34,10
25/02/2008 09:37,25/02/2008 09:38,4
25/02/2008 09:49,25/02/2008 09:53,13
25/02/2008 10:02,25/02/2008 10:12,5
25/02/2008 10:19,25/02/2008 16:55,1
25/02/2008 17:00,25/02/2008 17:01,4 
25/02/2008 17:54,25/02/2008 17:55,17
25/02/2008 18:31,25/02/2008 18:33,4
25/02/2008 19:40,25/02/2008 20:22,15
25/02/2008 20:23,25/02/2008 20:23,17
25/02/2008 21:51,25/02/2008 21:52,4
25/02/2008 23:21,26/02/2008 09:15,10
25/02/2008 23:28,25/02/2008 23:29,4
26/02/2008 00:39,26/02/2008 00:39,4
26/02/2008 03:13,26/02/2008 03:14,4
26/02/2008 08:35,26/02/2008 08:36,4
26/02/2008 09:15,26/02/2008 09:19,4
26/02/2008 09:26,26/02/2008 09:29,13
26/02/2008 09:48,26/02/2008 09:58,5
26/02/2008 10:05,26/02/2008 20:34,1
26/02/2008 21:02,26/02/2008 21:04,4
26/02/2008 21:39,26/02/2008 21:40,17
26/02/2008 22:56,26/02/2008 22:58,4
26/02/2008 23:01,27/02/2008 08:00,10
27/02/2008 05:29,27/02/2008 05:30,4
27/02/2008 08:01,27/02/2008 08:02,13
27/02/2008 08:13,27/02/2008 08:16,4
27/02/2008 08:16,27/02/2008 08:27,5
27/02/2008 08:34,27/02/2008 18:59,1
27/02/2008 18:59,27/02/2008 19:19,15
27/02/2008 19:19,27/02/2008 19:20,17
27/02/2008 23:03,27/02/2008 23:05,4
28/02/2008 00:11,28/02/2008 00:13,4
28/02/2008 00:16,28/02/2008 09:48,10
28/02/2008 07:06,28/02/2008 07:07,4
28/02/2008 09:48,28/02/2008 09:49,4
28/02/2008 09:49,28/02/2008 09:51,13
28/02/2008 10:35,28/02/2008 10:37,4
28/02/2008 10:38,28/02/2008 10:49,5
28/02/2008 10:58,28/02/2008 18:34,1
28/02/2008 18:48,28/02/2008 18:48,4
28/02/2008 18:53,28/02/2008 21:35,1
28/02/2008 21:40,28/02/2008 21:42,4
28/02/2008 23:23,28/02/2008 23:24,4
28/02/2008 23:24,29/02/2008 10:20,10
29/02/2008 08:03,29/02/2008 08:04,4
29/02/2008 10:22,29/02/2008 10:26,13
29/02/2008 10:30,29/02/2008 10:30,4
29/02/2008 10:30,29/02/2008 10:40,5
29/02/2008 10:48,29/02/2008 18:18,1
29/02/2008 18:41,29/02/2008 19:21,1
29/02/2008 19:24,29/02/2008 19:25,4
29/02/2008 19:44,29/02/2008 21:05,15
29/02/2008 22:03,02/03/2008 19:37,1
02/03/2008 20:37,02/03/2008 20:37,4
02/03/2008 20:57,02/03/2008 21:09,15
02/03/2008 21:57,02/03/2008 22:03,4
02/03/2008 22:03,03/03/2008 08:50,10
03/03/2008 08:50,03/03/2008 08:52,4
03/03/2008 09:01,03/03/2008 09:03,13
03/03/2008 09:17,03/03/2008 09:32,5
03/03/2008 09:44,04/03/2008 09:08,1
04/03/2008 09:10,04/03/2008 09:11,4
04/03/2008 09:15,04/03/2008 18:20,1
04/03/2008 18:20,04/03/2008 18:23,4
04/03/2008 18:30,04/03/2008 23:43,1
04/03/2008 23:44,04/03/2008 23:45,4
04/03/2008 23:52,04/03/2008 23:52,17
05/03/2008 00:01,05/03/2008 00:04,4
05/03/2008 00:20,05/03/2008 00:21,4
05/03/2008 00:21,05/03/2008 09:28,10
05/03/2008 06:00,05/03/2008 06:01,4
05/03/2008 09:28,05/03/2008 09:29,4
05/03/2008 09:29,05/03/2008 09:31,13
05/03/2008 09:45,05/03/2008 09:53,5
05/03/2008 10:11,05/03/2008 19:48,1
05/03/2008 19:51,05/03/2008 20:27,15
05/03/2008 20:13,05/03/2008 20:14,4
05/03/2008 23:07,05/03/2008 23:08,4
05/03/2008 23:32,05/03/2008 23:33,4
05/03/2008 23:33,06/03/2008 08:39,10
06/03/2008 04:38,06/03/2008 04:38,4
06/03/2008 08:39,06/03/2008 08:40,4
06/03/2008 09:04,06/03/2008 09:09,13
06/03/2008 09:38,06/03/2008 09:43,4
06/03/2008 10:23,06/03/2008 10:31,5
06/03/2008 10:37,06/03/2008 17:41,1
06/03/2008 17:46,06/03/2008 17:46,17
06/03/2008 18:52,06/03/2008 18:53,4
06/03/2008 18:54,06/03/2008 19:38,15
06/03/2008 19:40,06/03/2008 19:40,17
06/03/2008 21:37,06/03/2008 21:37,17
06/03/2008 22:44,06/03/2008 22:47,4
06/03/2008 23:17,06/03/2008 23:18,4
06/03/2008 23:18,07/03/2008 08:39,10
07/03/2008 06:59,07/03/2008 07:00,4
07/03/2008 08:44,07/03/2008 08:45,4
07/03/2008 08:49,07/03/2008 08:49,17
07/03/2008 08:50,07/03/2008 08:51,13
07/03/2008 09:07,07/03/2008 09:16,5
07/03/2008 09:28,08/03/2008 01:08,1
08/03/2008 01:11,08/03/2008 01:12,17
08/03/2008 03:21,08/03/2008 03:23,4
08/03/2008 03:26,08/03/2008 08:20,10
08/03/2008 08:20,08/03/2008 08:21,4
08/03/2008 08:21,08/03/2008 08:22,17
08/03/2008 08:33,08/03/2008 08:36,4
08/03/2008 10:00,08/03/2008 10:01,4
08/03/2008 10:02,08/03/2008 10:26,10
08/03/2008 10:26,08/03/2008 10:34,13
08/03/2008 11:12,08/03/2008 11:15,4
08/03/2008 11:15,08/03/2008 11:24,5
08/03/2008 11:35,10/03/2008 06:19,1
10/03/2008 06:21,10/03/2008 08:34,10
10/03/2008 08:35,10/03/2008 08:36,4
10/03/2008 08:49,10/03/2008 08:51,4
10/03/2008 09:25,10/03/2008 09:27,13
10/03/2008 09:46,10/03/2008 09:57,5
10/03/2008 10:28,10/03/2008 19:23,1
10/03/2008 19:24,10/03/2008 19:25,4
10/03/2008 19:33,10/03/2008 20:10,15
10/03/2008 20:10,10/03/2008 20:11,17
10/03/2008 20:52,10/03/2008 20:55,4
10/03/2008 21:31,10/03/2008 21:34,17
10/03/2008 22:03,10/03/2008 22:04,4
10/03/2008 22:05,11/03/2008 08:43,10
11/03/2008 06:51,11/03/2008 06:53,4
11/03/2008 09:00,11/03/2008 09:02,4
11/03/2008 09:15,11/03/2008 09:18,4
11/03/2008 09:18,11/03/2008 09:29,5
11/03/2008 09:33,11/03/2008 17:57,1
11/03/2008 17:58,11/03/2008 18:12,15
11/03/2008 18:16,11/03/2008 18:16,17
11/03/2008 18:29,11/03/2008 18:30,4
11/03/2008 18:34,11/03/2008 20:42,1
11/03/2008 20:48,11/03/2008 20:53,17
11/03/2008 21:13,11/03/2008 21:14,17
11/03/2008 21:51,11/03/2008 21:53,4
11/03/2008 21:53,12/03/2008 08:41,10
12/03/2008 03:04,12/03/2008 03:05,4
12/03/2008 08:41,12/03/2008 08:42,4
12/03/2008 09:41,12/03/2008 09:52,13
12/03/2008 09:59,12/03/2008 09:59,17
12/03/2008 11:02,12/03/2008 11:04,4
12/03/2008 11:09,12/03/2008 12:21,1
12/03/2008 12:41,12/03/2008 12:47,5
12/03/2008 12:54,13/03/2008 00:53,1
13/03/2008 01:18,13/03/2008 01:21,4
13/03/2008 01:23,13/03/2008 08:22,10
13/03/2008 06:28,13/03/2008 06:29,4
13/03/2008 08:22,13/03/2008 08:23,4
13/03/2008 09:19,13/03/2008 09:21,13
13/03/2008 09:40,13/03/2008 09:47,5
13/03/2008 09:57,13/03/2008 17:50,1
13/03/2008 17:53,13/03/2008 17:54,4
13/03/2008 20:31,13/03/2008 20:33,4
13/03/2008 20:34,14/03/2008 00:38,1
14/03/2008 00:38,14/03/2008 00:39,4
14/03/2008 00:45,14/03/2008 08:58,10
14/03/2008 05:29,14/03/2008 05:43,4
14/03/2008 09:12,14/03/2008 09:14,4
14/03/2008 09:15,14/03/2008 09:18,13
14/03/2008 09:57,14/03/2008 10:00,4
14/03/2008 10:31,14/03/2008 10:42,5
14/03/2008 10:48,14/03/2008 17:13,1
14/03/2008 17:19,14/03/2008 17:20,4
14/03/2008 17:55,14/03/2008 22:55,1
14/03/2008 23:04,14/03/2008 23:05,4
14/03/2008 23:57,14/03/2008 23:58,4
14/03/2008 23:59,15/03/2008 09:53,10
15/03/2008 04:06,15/03/2008 04:07,4
15/03/2008 08:59,15/03/2008 09:00,4
15/03/2008 10:07,15/03/2008 10:09,4
15/03/2008 10:09,15/03/2008 10:11,13
15/03/2008 10:40,15/03/2008 10:41,4
15/03/2008 12:36,15/03/2008 12:37,4
15/03/2008 14:30,15/03/2008 14:32,4
15/03/2008 14:34,15/03/2008 14:46,5
15/03/2008 18:15,15/03/2008 18:39,15
15/03/2008 18:55,15/03/2008 18:55,17
15/03/2008 19:44,15/03/2008 19:45,4
15/03/2008 19:45,16/03/2008 00:29,1
16/03/2008 01:30,16/03/2008 01:31,4
16/03/2008 01:31,16/03/2008 09:06,10
16/03/2008 09:06,16/03/2008 09:07,4
16/03/2008 09:19,16/03/2008 09:23,4
16/03/2008 10:03,16/03/2008 10:05,13
16/03/2008 10:42,16/03/2008 10:49,5
16/03/2008 11:27,16/03/2008 21:37,1
16/03/2008 21:38,16/03/2008 21:39,4
16/03/2008 22:02,17/03/2008 08:10,10
16/03/2008 22:47,16/03/2008 22:48,4
17/03/2008 05:44,17/03/2008 05:45,4
17/03/2008 08:30,17/03/2008 08:31,4
17/03/2008 08:31,17/03/2008 08:33,13
17/03/2008 08:54,17/03/2008 09:05,5
17/03/2008 09:09,17/03/2008 09:14,4
17/03/2008 09:16,17/03/2008 19:11,1
17/03/2008 19:13,17/03/2008 19:14,4
17/03/2008 19:43,17/03/2008 20:15,15
17/03/2008 20:04,17/03/2008 20:07,4
17/03/2008 20:17,17/03/2008 20:17,17
17/03/2008 21:33,17/03/2008 21:33,17
17/03/2008 22:26,17/03/2008 22:27,4
18/03/2008 00:48,18/03/2008 00:49,4
18/03/2008 00:51,18/03/2008 07:48,10
18/03/2008 06:23,18/03/2008 06:23,4
18/03/2008 08:15,18/03/2008 08:19,4
18/03/2008 08:20,18/03/2008 08:23,13
18/03/2008 08:39,18/03/2008 08:52,5
18/03/2008 09:14,18/03/2008 18:00,1
18/03/2008 18:01,18/03/2008 18:08,4
18/03/2008 18:21,18/03/2008 18:23,4
18/03/2008 18:25,18/03/2008 23:39,1
19/03/2008 00:40,19/03/2008 00:42,4
19/03/2008 00:44,19/03/2008 08:43,10
19/03/2008 07:51,19/03/2008 07:51,4
19/03/2008 09:38,19/03/2008 09:44,13
19/03/2008 09:48,19/03/2008 09:49,4
19/03/2008 09:49,19/03/2008 10:00,5
19/03/2008 10:08,19/03/2008 17:15,1
19/03/2008 17:19,19/03/2008 17:22,5
19/03/2008 17:26,19/03/2008 20:20,1
19/03/2008 20:46,19/03/2008 20:49,4
19/03/2008 21:49,19/03/2008 21:51,4
19/03/2008 21:54,20/03/2008 08:31,10
20/03/2008 00:35,20/03/2008 00:36,4
20/03/2008 06:57,20/03/2008 06:58,4
20/03/2008 08:45,20/03/2008 08:47,4
20/03/2008 09:11,20/03/2008 09:15,13
20/03/2008 09:42,20/03/2008 09:50,5
20/03/2008 09:56,20/03/2008 22:49,1
20/03/2008 22:51,20/03/2008 22:55,4
20/03/2008 23:36,20/03/2008 23:41,4
20/03/2008 23:58,20/03/2008 23:59,4
20/03/2008 23:59,21/03/2008 09:04,10
21/03/2008 03:49,21/03/2008 03:50,4
21/03/2008 08:30,21/03/2008 08:31,4
21/03/2008 09:13,21/03/2008 09:15,4
21/03/2008 09:17,21/03/2008 09:24,5
21/03/2008 09:42,21/03/2008 15:51,1
21/03/2008 15:51,21/03/2008 15:53,4
21/03/2008 17:03,21/03/2008 18:05,10
21/03/2008 18:24,21/03/2008 18:25,4
21/03/2008 19:10,23/03/2008 19:04,1